Status;Key;Domain List;ID OCarto;Application List;Summary;T-1;T0;Begin Date;Actual T-1;Actual T0;Date MEP;Environment;Type;Project Type;Source;Hosting;Project;Phase;Issue Type;Parent
In progress;ACCXAAS-8772;DEFY;33991;Portail;TAG MONITORING PROBE;;16-12-2025;30-08-2026 18:40:00;;;;;Migration;;SBM;RICKAASTLEY;Cloud;Full Scope M2C;Project;
Open;ACCXAAS-8771;DEFY;32670;SECU;CACHE HTTP;;11-09-2025;15-11-2026 18:06:00;;;;;Migration;;SBM;PHYSIQUE LINUX;Cloud;Full Scope M2C;Project;
Done;ACCXAAS-8752;FALCO;29644;;FRONT END ATOL - Migration BDD;;;07-07-2025 00:00:00;;;;;;RETIRE;SBM;PICAASSO;Cloud;Full Scope M2C;Project;
Done;ACCXAAS-8751;FALCO;29644;;FRONT END ATOL - Adaptation Applicative;;;08-07-2025 00:00:00;;;;;;RETIRE;SBM;PICAASSO;Cloud;Full Scope M2C;Project;
Done;ACCXAAS-8790;FALCO;29644;;SEBASTIEN - Adaptation Applicative;;;07-07-2025 00:00:00;;;;;;RETIRE;SBM;PICAASSO;Cloud;Full Scope M2C;Project;
Done;ACCXAAS-8791;FALCO;29644;;BENBEN - Adaptation Applicative;;;07-07-2025 00:00:00;;;;;;RETIRE;SBM;PICAASSO;Cloud;Full Scope M2C;Project;
Done;ACCXAAS-8750;FALCO;29644;;FRONT END ATOL - Build IAC;;;07-07-2025 00:00:00;;;;;;RETIRE;SBM;PICAASSO;Cloud;Full Scope M2C;Sub-task;ACCXAAS-8772
Open;ACCXAAS-8749;FALCO;30634;;PREVENTION SURCONSOMMATION - Migration BDD;;;08-09-2026 00:00:00;;;;;;REPLATFORM;SBM;WAMPAAS;Cloud;Full Scope M2C;Sub-task;ACCXAAS-8772
Open;ACCXAAS-8748;FALCO;30634;;PREVENTION SURCONSOMMATION - Adaptation Applicative;;;08-09-2026 00:00:00;;;;;;REPLATFORM;SBM;WAMPAAS;Cloud;Full Scope M2C;Sub-task;ACCXAAS-8771
Open;ACCXAAS-8747;FALCO;30634;;PREVENTION SURCONSOMMATION - Build IAC;;;08-09-2026 00:00:00;;;;;;REPLATFORM;SBM;WAMPAAS;Cloud;Full Scope M2C;Sub-task;ACCXAAS-8771
In Progress;ACCXAAS-8746;FALCO;32198;;GESTION RESERVATION STOCK - Migration BDD;;;18-01-2026 15:27:00;;;;;;REPLATFORM;SBM;WAMPAAS;Cloud;Full Scope M2C;Sub-task;ACCXAAS-8752
Open;ACCXAAS-8745;FALCO;32198;;GESTION RESERVATION STOCK - Adaptation Applicative;;;18-01-2026 15:27:00;;;;;;REPLATFORM;SBM;WAMPAAS;Cloud;Full Scope M2C;Sub-task;ACCXAAS-8752
Open;ACCXAAS-8744;FALCO;32198;;GESTION RESERVATION STOCK - Build IAC;;;18-01-2026 15:27:00;;;;;;REPLATFORM;SBM;WAMPAAS;Cloud;Full Scope M2C;Sub-task;ACCXAAS-8751
Open;ACCXAAS-8743;SPIRIT;19682;;J-CAT - Migration BDD;;;;;;;;;REMAIN;GCP;GCP;Cloud;Full Scope M2C;Sub-task;ACCXAAS-8751
Open;ACCXAAS-8742;SPIRIT;19682;;J-CAT - Adaptation Applicative;;;;;;;;;REMAIN;GCP;GCP;Cloud;Full Scope M2C;Sub-task;ACCXAAS-8751
Open;ACCXAAS-8741;SPIRIT;19682;;J-CAT - Build IAC;;;;;;;;;REMAIN;GCP;GCP;Cloud;Full Scope M2C;Sub-task;ACCXAAS-8751
Open;ACCXAAS-8740;FALCO;15839;;PORTAIL BO - Migration BDD;;;27-03-2026 14:02:00;;;;;;REPLATFORM;SBM;WAMPAAS;Cloud;Full Scope M2C;Sub-task;ACCXAAS-8751